id	modified	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	lifeStage	eventDate	year	month	day	fieldNotes	countryCode	locality	verbatimCoordinates	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	pointRadiusSpatialFit	identifiedBy	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	nomenclaturalCode
RBINS:Beetles:31	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:31	31	1		Adult	1939-06-03	1939	6	3	Dans jardin – sur feuille Sirynga (=Syringa)	BE	Visé	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:32	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:32	32	1		Adult	1943-05-06	1943	5	6		BE	Visé	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:33	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:33	33	2		Adult	1952-08-07	1952	8	7	Elevage sur frêne (Fraxinus)	BE	Furfooz	31UFR36B	UTM 5km	+50.244	+4.928	WGS84	3536	1.5708	Vrydagh J. M.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:34	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:34	34	1		Adult	1933-05-21	1933	5	21		BE	Teuven (Voeren)	31UGS02A	UTM 5km	+50.764	+5.872	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:35	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:35	35	3		Adult	1954-07-01	1954	7	1		BE	Sauvenière	31UFS20C	UTM 5km	+50.562	+4.730	WGS84	3536	1.5708	Herman G.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:36	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:36	36	4		Adult	1910-06-01	1910	6	1		BE	Houyet	31UFR46C	UTM 5km	+50.198	+4.997	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:37	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:37	37	1		Adult	1913-06-01	1913	6	1		BE	Houyet	31UFR46C	UTM 5km	+50.198	+4.997	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:38	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:38	38	1		Adult	1936-06-18	1936	6	18		BE	Houyet	31UFR46C	UTM 5km	+50.198	+4.997	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:39	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:39	39	6		Adult	1936-06-18	1936	6	18		BE	Houyet	31UFR46C	UTM 5km	+50.198	+4.997	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:40	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:40	40	1		Adult	1937-07-14	1937	7	14		BE	Houyet	31UFR46C	UTM 5km	+50.198	+4.997	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:41	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:41	41	2		Adult	1938-07-18	1938	7	18		BE	Houyet	31UFR46C	UTM 5km	+50.198	+4.997	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:42	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:42	42	3		Adult	1943-06-11	1943	6	11		BE	Hotton	31UFR77C	UTM 5km	+50.279	+5.421	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:43	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:43	43	1	1M	Adult	1943-07-17	1943	7	17		BE	Hotton	31UFR77C	UTM 5km	+50.279	+5.421	WGS84	3536	1.5708	Simon A.	Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:44	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:44	44	4		Adult	1944-06-26	1944	6	26		BE	Hotton	31UFR77C	UTM 5km	+50.279	+5.421	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:45	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:45	45	1		Adult	1944-07-01	1944	7	1		BE	Hotton	31UFR77C	UTM 5km	+50.279	+5.421	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:46	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:46	46	7		Adult	1913-06-01	1913	6	1		BE	Lamorteau	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:47	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:47	47	1		Adult	1920-05-30	1920	5	30		BE	Lamorteau	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:48	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:48	48	1		Adult	1939-06-01	1939	6	1		BE	Lamorteau	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:49	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:49	49	3		Adult	1910-06-09	1910	6	9		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708	Mayné R.	Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:50	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:50	50	1		Adult	1913-06-01	1913	6	1		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:51	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:51	51	1		Adult	1920-06-03	1920	6	3		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:52	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:52	52	2		Adult	1920-06-11	1920	6	11		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:53	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:53	53	3		Adult	1939-06-01	1939	6	1		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:54	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:54	54	2		Adult	1941-06-27	1941	6	27		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:55	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:55	55	1	1F	Adult	1942-06-25	1942	6	25		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708	de Ruette R.	Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:56	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:56	56	1		Adult	1942-06-26	1942	6	26		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:57	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:57	57	1		Adult	1946-07-02	1946	7	2		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:58	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:58	58	2		Adult	1916-06-05	1916	6	5		BE	Dalhem	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:59	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:59	59	2	1M+1F	Adult	1920-05-15	1920	5	15		BE	Dalhem	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:60	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:60	60	1		Adult	1948-06-01	1948	6	1		BE	Ben-Ahin	31UFR59A	UTM 5km	+50.510	+5.151	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:61	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:61	61	1		Adult	1910-06-07	1910	6	7		BE	Virton	31UFQ89A	UTM 5km	+49.602	+5.526	WGS84	3536	1.5708	Mayné R.	Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:62	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:62	62	1		Adult	1938-05-26	1938	5	26		BE	Virton	31UFQ89A	UTM 5km	+49.602	+5.526	WGS84	3536	1.5708	Muller J.	Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:63	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:63	63	1		Adult	1954-06-27	1954	6	27		BE	Verlaine	31UFS60A	UTM 5km	+50.597	+5.296	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:64	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:64	64	1	1M	Adult	1930-05-17	1930	5	17		BE	Visé	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708	Muller J.	Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:65	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:65	65	1		Adult	1948-05-20	1948	5	20		BE	Sy-sur-Ourthe	31UFR88B	UTM 5km	+50.410	+5.639	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
RBINS:Beetles:66	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:66	66	1		Adult						BE	Strée-lez-Huy	31UFR69A	UTM 5km	+50.507	+5.292	WGS84	3536	1.5708		Anthaxia nitidula (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	nitidula	ICZN
