class,namespace,qualifiedName,name,type,format,constraints,comment
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,maximumDepthInMeters,integer,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimDepth,verbatimDepth,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters,minimumDistanceAboveSurfaceInMeters,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locationAccordingTo,locationAccordingTo,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locationRemarks,locationRemarks,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/decimalLatitude,decimalLatitude,number,default,"{ ""minimum"": -90.0, ""maximum"": 90.0} ",
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/decimalLongitude,decimalLongitude,number,default,"{ ""minimum"": -180.0, ""maximum"": 180.0} ",
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/geodeticDatum,geodeticDatum,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,coordinateUncertaintyInMeters,integer,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/coordinatePrecision,coordinatePrecision,number,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,pointRadiusSpatialFit,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,verbatimCoordinates,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimLatitude,verbatimLatitude,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimLongitude,verbatimLongitude,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,verbatimCoordinateSystem,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimSRS,verbatimSRS,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/footprintWKT,footprintWKT,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/footprintSRS,footprintSRS,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/footprintSpatialFit,footprintSpatialFit,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/georeferencedBy,georeferencedBy,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/georeferencedDate,georeferencedDate,string,default,,Recommended best practice is to use a date that conforms to ISO 8601:2004(E).
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,georeferenceProtocol,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/georeferenceSources,georeferenceSources,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,georeferenceVerificationStatus,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,georeferenceRemarks,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/geologicalContextID,geologicalContextID,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,earliestEonOrLowestEonothem,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,latestEonOrHighestEonothem,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,earliestEraOrLowestErathem,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,latestEraOrHighestErathem,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,earliestPeriodOrLowestSystem,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,latestPeriodOrHighestSystem,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,earliestEpochOrLowestSeries,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,latestEpochOrHighestSeries,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,earliestAgeOrLowestStage,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,latestAgeOrHighestStage,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone,lowestBiostratigraphicZone,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone,highestBiostratigraphicZone,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,lithostratigraphicTerms,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/group,group,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/formation,formation,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/member,member,string,default,,
GeologicalContext,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/bed,bed,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/identificationID,identificationID,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/identificationQualifier,identificationQualifier,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/typeStatus,typeStatus,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/identifiedBy,identifiedBy,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/dateIdentified,dateIdentified,string,default,,Recommended best practice is to use a date that conforms to ISO 8601:2004(E).
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/identificationReferences,identificationReferences,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,identificationVerificationStatus,string,default,,
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/identificationRemarks,identificationRemarks,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/taxonID,taxonID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/scientificNameID,scientificNameID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,acceptedNameUsageID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/parentNameUsageID,parentNameUsageID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/originalNameUsageID,originalNameUsageID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/nameAccordingToID,nameAccordingToID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/namePublishedInID,namePublishedInID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/taxonConceptID,taxonConceptID,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/scientificName,scientificName,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,acceptedNameUsage,string,default,,
